2017/06/24 | 10:10:07 | AUTH | namall Authenticated from 127.0.0.1
2017/06/24 | 10:10:07 | INFO | namall is now online.
2017/06/24 | 10:10:18 | INFO | namall logged out from the system : ::ffff:127.0.0.1
2017/06/24 | 10:10:25 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:10:25 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:10:25 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:10:25 | INFO | nyxsys is now online.
2017/06/24 | 10:10:44 | INFO | nyxsys is now offline.
2017/06/24 | 10:10:44 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:10:44 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:10:44 | INFO | nyxsys is now online.
2017/06/24 | 10:11:06 | INFO | nyxsys is now offline.
2017/06/24 | 10:11:07 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:11:07 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:11:07 | INFO | nyxsys is now online.
2017/06/24 | 10:12:57 | INFO | nyxsys logged out from the system : ::ffff:127.0.0.1
2017/06/24 | 10:12:57 | INFO | nyxsys is now offline.
2017/06/24 | 10:14:01 | INFO | namall logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:14:01 | AUTH | namall Authenticated from 127.0.0.1
2017/06/24 | 10:14:01 | INFO | namall is now online.
2017/06/24 | 10:14:23 | AUTH | namall Authenticated from 127.0.0.1
2017/06/24 | 10:14:23 | INFO | namall is now online.
2017/06/24 | 10:16:49 | INFO | Starting system.
2017/06/24 | 10:16:49 | INFO | Initializing system components.
2017/06/24 | 10:16:49 | INFO | Attempting to connect to the database.
2017/06/24 | 10:16:49 | INFO | System initialization completed.
2017/06/24 | 10:16:49 | INFO | Database connection success.
2017/06/24 | 10:16:53 | WARN | Issuing page refresh command to socket ID:s_bdidXSlX_aFEXFAAAA REASON : User not found in active sessions
2017/06/24 | 10:16:57 | INFO | namall logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:16:59 | AUTH | namall Authenticated from 127.0.0.1
2017/06/24 | 10:16:59 | INFO | namall is now online.
2017/06/24 | 10:17:16 | INFO | namall logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:17:19 | AUTH | namall Authenticated from 127.0.0.1
2017/06/24 | 10:17:19 | INFO | namall is now online.
2017/06/24 | 10:17:27 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:17:27 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:17:27 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:17:27 | INFO | nyxsys is now online.
2017/06/24 | 10:17:49 | INFO | nyxsys is now offline.
2017/06/24 | 10:17:49 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:17:49 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:17:49 | INFO | nyxsys is now online.
2017/06/24 | 10:17:52 | INFO | nyxsys is now offline.
2017/06/24 | 10:17:52 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:17:52 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:17:52 | INFO | nyxsys is now online.
2017/06/24 | 10:19:45 | INFO | Starting system.
2017/06/24 | 10:19:45 | INFO | Initializing system components.
2017/06/24 | 10:19:45 | INFO | Attempting to connect to the database.
2017/06/24 | 10:19:45 | INFO | System initialization completed.
2017/06/24 | 10:19:45 | INFO | Database connection success.
2017/06/24 | 10:19:49 | WARN | Issuing page refresh command to socket ID:8-FE45MHQx3KCyO7AAAA REASON : User not found in active sessions
2017/06/24 | 10:19:52 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:19:52 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:19:52 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:19:52 | INFO | nyxsys is now online.
2017/06/24 | 10:20:01 | INFO | nyxsys is now offline.
2017/06/24 | 10:20:01 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:20:01 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:20:01 | INFO | nyxsys is now online.
2017/06/24 | 10:22:52 | INFO | Starting system.
2017/06/24 | 10:22:52 | INFO | Initializing system components.
2017/06/24 | 10:22:52 | INFO | Attempting to connect to the database.
2017/06/24 | 10:22:52 | INFO | System initialization completed.
2017/06/24 | 10:22:52 | INFO | Database connection success.
2017/06/24 | 10:22:54 | WARN | Issuing page refresh command to socket ID:z5aRLvgDjwAPNetIAAAA REASON : User not found in active sessions
2017/06/24 | 10:22:58 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:22:58 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:22:58 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:22:58 | INFO | nyxsys is now online.
2017/06/24 | 10:23:09 | INFO | nyxsys is now offline.
2017/06/24 | 10:23:10 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:23:10 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:23:10 | INFO | nyxsys is now online.
2017/06/24 | 10:24:35 | INFO | Starting system.
2017/06/24 | 10:24:35 | INFO | Initializing system components.
2017/06/24 | 10:24:35 | INFO | Attempting to connect to the database.
2017/06/24 | 10:24:35 | INFO | System initialization completed.
2017/06/24 | 10:24:35 | INFO | Database connection success.
2017/06/24 | 10:24:40 | WARN | Issuing page refresh command to socket ID:tf3VKMA6Sqmzus8tAAAA REASON : User not found in active sessions
2017/06/24 | 10:24:42 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:24:43 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:24:43 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:24:43 | INFO | nyxsys is now online.
2017/06/24 | 10:24:55 | INFO | nyxsys is now offline.
2017/06/24 | 10:24:55 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:24:55 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:24:55 | INFO | nyxsys is now online.
2017/06/24 | 10:27:00 | INFO | Starting system.
2017/06/24 | 10:27:00 | INFO | Initializing system components.
2017/06/24 | 10:27:00 | INFO | Attempting to connect to the database.
2017/06/24 | 10:27:00 | INFO | System initialization completed.
2017/06/24 | 10:27:00 | INFO | Database connection success.
2017/06/24 | 10:27:01 | WARN | Issuing page refresh command to socket ID:LdPXYvR3yVvHalwDAAAA REASON : User not found in active sessions
2017/06/24 | 10:27:15 | INFO | namall logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:27:23 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:27:23 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:27:23 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:27:23 | INFO | nyxsys is now online.
2017/06/24 | 10:27:36 | INFO | nyxsys is now offline.
2017/06/24 | 10:27:36 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:27:36 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:27:36 | INFO | nyxsys is now online.
2017/06/24 | 10:28:15 | INFO | Starting system.
2017/06/24 | 10:28:15 | INFO | Initializing system components.
2017/06/24 | 10:28:15 | INFO | Attempting to connect to the database.
2017/06/24 | 10:28:15 | INFO | System initialization completed.
2017/06/24 | 10:28:15 | INFO | Database connection success.
2017/06/24 | 10:28:16 | WARN | Issuing page refresh command to socket ID:IO9OmJjC8I8NdwA4AAAA REASON : User not found in active sessions
2017/06/24 | 10:28:19 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:28:20 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:28:20 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:28:20 | INFO | nyxsys is now online.
2017/06/24 | 10:28:30 | INFO | nyxsys is now offline.
2017/06/24 | 10:28:30 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:28:30 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:28:30 | INFO | nyxsys is now online.
2017/06/24 | 10:29:52 | INFO | Starting system.
2017/06/24 | 10:29:52 | INFO | Initializing system components.
2017/06/24 | 10:29:52 | INFO | Attempting to connect to the database.
2017/06/24 | 10:29:52 | INFO | System initialization completed.
2017/06/24 | 10:29:52 | INFO | Database connection success.
2017/06/24 | 10:29:52 | WARN | Issuing page refresh command to socket ID:w8GCl565gOaKZeorAAAA REASON : User not found in active sessions
2017/06/24 | 10:29:57 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:29:57 | AUTH | Administrator nyxsys connected from 127.0.0.1
